codstz,tiposens,datetime,valore,nome,comune,quota,x,y
153,LFREAT,2019-12-05T14:00:00Z,20.23,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T15:00:00Z,20.23,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T16:00:00Z,20.23,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T17:00:00Z,20.22,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T18:00:00Z,20.21,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T19:00:00Z,20.21,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T20:00:00Z,20.21,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T21:00:00Z,20.2,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T22:00:00Z,20.19,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T23:00:00Z,20.19,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-06T00:00:00Z,20.18,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-06T01:00:00Z,20.17,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-06T02:00:00Z,20.17,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-06T03:00:00Z,20.16,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-06T04:00:00Z,20.16,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-06T05:00:00Z,20.15,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-06T06:00:00Z,20.15,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-06T07:00:00Z,20.14,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-06T08:00:00Z,20.14,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-06T09:00:00Z,20.13,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-06T10:00:00Z,20.13,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-06T11:00:00Z,20.12,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-06T12:00:00Z,20.11,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-06T13:00:00Z,20.1,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
