"Codice";"Nome";"Inizio";"Fine";"Tipo";"Quota";"Comune";"Provincia";"Sensori";"Epsg3003_X";"Epsg3003_Y";"Epsg4258_Lat";"Epsg4258_Lon";"Bacino";"SottoBacino";"ZonaAllerta"
135;"Novoledo Sud";12/09/2019;;"FREAT";57.73;"VILLAVERLA (VI)";"VI";"LFREAT, TFREAT";1696045;5056875;45.63755465;11.51506324;"";"";" ";
136;"Dueville  Vivaro";12/10/2019;;"FREAT";47.05;"DUEVILLE (VI)";"VI";"LFREAT, TFREAT";1698462;5053907;45.61018014;11.54483628;"";"";" ";
137;"Pianezze AIST048b";26/11/2019;;"FREAT";88.68;"PIANEZZE (VI)";"VI";"LFREAT, TFREAT";1704651;5067553;45.73107963;11.62986801;"";"";" ";
138;"Caldogno Revelin";22/10/2019;;"FREAT";59.79;"CALDOGNO (VI)";"VI";"LFREAT, TFREAT";1694534;5055361;45.62436542;11.49509002;"";"";" ";
139;"Dueville Passo di Riva";23/10/2019;;"FREAT";57.94;"DUEVILLE (VI)";"VI";"LFREAT, TFREAT";1700223;5056940;45.63694694;11.56864342;"";"";" ";
140;"Zugliano Piscine";09/10/2019;;"FREAT";159.67;"ZUGLIANO (VI)";"VI";"CONDUC, LFREAT, TFREAT";1692828;5065492;45.71594192;11.47724401;"";"";" ";
141;"Marano Vicentino";09/10/2019;;"FREAT";140.61;"MARANO VICENTINO (VI)";"VI";"LFREAT, TFREAT";1690096;5063512;45.69889225;11.44139799;"";"";" ";
142;"Villaverla (S.Simeone)";09/10/2019;;"FREAT";76.41;"VILLAVERLA (VI)";"VI";"LFREAT, TFREAT";1694498;5059508;45.66166611;11.49628506;"";"";" ";
143;"Isola Vicentina Capiterlina";22/10/2019;;"FREAT";76.97;"ISOLA VICENTINA (VI)";"VI";"LFREAT, TFREAT";1691389;5056150;45.6323341;11.45509404;"";"";" ";
145;"Cornedo Vicentino Spagnago 3";22/10/2019;;"FREAT";0;"CORNEDO VICENTINO (VI)";"VI";"LFREAT, TFREAT";1680310;5054961;45.62460597;11.31263492;"";"";" ";
146;"Montecchio Precalcino Terraglioni";22/10/2019;;"FREAT";68.91;"MONTECCHIO PRECALCINO (VI)";"VI";"LFREAT, TFREAT";1696951;5059080;45.65712554;11.52756863;"";"";" ";
147;"Castelgomberto AIST016";05/11/2019;;"FREAT";0;"CASTELGOMBERTO (VI)";"VI";"LFREAT, TFREAT";1686211;5048449;45.56448685;11.38578308;"";"";" ";
148;"Montecchio Precalcino AIST 124";27/11/2019;;"FREAT";84.03;"MONTECCHIO PRECALCINO (VI)";"VI";"LFREAT, TFREAT";1696836;5060804;45.67266028;11.5267917;"";"";" ";
149;"Caldogno Altura";15/10/2019;;"FREAT";56.66;"CALDOGNO (VI)";"VI";"LFREAT, TFREAT";1693964;5054189;45.61398585;11.48731886;"";"";" ";
150;"Brogliano AIST018";05/11/2019;;"FREAT";0;"BROGLIANO (VI)";"VI";"LFREAT, TFREAT";1685669;5050489;45.5829775;11.37961886;"";"";" ";
151;"Villaverla AIST029";22/10/2019;;"FREAT";85.3;"VILLAVERLA (VI)";"VI";"LFREAT, TFREAT";1692537;5058766;45.6555408;11.47084311;"";"";" ";
152;"Malo AIST024";04/11/2019;;"FREAT";90.47;"MALO (VI)";"VI";"LFREAT, TFREAT";1689234;5057168;45.64207918;11.42786684;"";"";" ";
153;"Breganze AIST132";26/11/2019;;"FREAT";92.21;"BREGANZE (VI)";"VI";"LFREAT, TFREAT";1700819;5063249;45.69350274;11.57888759;"";"";" ";
