"Codice";"Nome";"Inizio";"Fine";"Tipo";"Quota";"Comune";"Provincia";"Sensori";"Epsg3003_X";"Epsg3003_Y";"Epsg4258_Lat";"Epsg4258_Lon";"Bacino";"SottoBacino";"ZonaAllerta"
33;"Follina antincendio";01/07/1984;13/01/2016;"METEO";311;"FOLLINA (TV)";"TV";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1741572.825;5094021.619;45.95703378;12.11707864;"PIAVE: VENETO";"PIAVE - Soligo";"Vene-H Piave pedemontano";
34;"Rosolina Porto Caleri";01/09/1984;01/01/1999;"METEO";2;"ROSOLINA (RO)";"RO";"DVENTO5M, DVENTO5M, ELIOFANIA, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1761808;4998965;45.09548769;12.32692486;"FISS.TAR.C.BIANCO";"PO";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
35;"Dolina Valmenera (BL)";08/11/1999;04/08/2014;"DOLINE";920;"TAMBRE (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, INDSEREN, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, UMIDMAX2M, UMIDMIN2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1765817;5109403;46.08626189;12.43791886;"LIVENZA: VENETO";"LIVENZA: ZONA MONTANA";"Friu-A Bacino del Livenza";
37;"Passo Falzarego";03/10/1985;;"METEO";2090;"CORTINA D'AMPEZZO (BL)";"BL";"DVENTO5M, DVENTO5M, ET0, PREC, TARIA, TARIA2M, TARIAMAX, TARIAMAX2M, TARIAMIN, TARIAMIN2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1730665;5156102;46.51873107;12.00683651;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
41;"Marmolada - Punta Rocca";01/10/1991;;"METEO";3250;"ROCCA PIETORE (BL)";"BL";"DVENTO5M, DVENTO5M, TARIA2M, TARIAMAX2M, TARIAMIN2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1719960;5146229;46.4335743;11.86279487;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
43;"Mestre palazzo del Gazzettino";28/08/1987;19/01/2007;"METEO";30;"VENEZIA (VE)";"VE";"DVENTO2M, DVENTO2M, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1754303;5041216;45.47793023;12.25335951;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
44;"Monte Pizzoc";01/01/1992;01/06/1996;"METEO";1554;"VITTORIO VENETO (TV)";"TV";"DVENTO5M, DVENTO5M, TARIA2M, TARIAMAX2M, TARIAMIN2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1759142;5103958;46.03990404;12.34876746;"LIVENZA: VENETO";"LIVENZA: ZONA MONTANA";"Vene-H Piave pedemontano";
45;"Mis Lago";18/12/1986;24/06/2002;"IDRO";416;"SOSPIROLO (BL)";"BL";"LIDRO";1737988;5116523;46.16050699;12.0820896;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-H Piave pedemontano";
46;"Punta di Giatei";01/02/1985;01/10/1997;"METEO";2181;"COLLE SANTA LUCIA (BL)";"BL";"DVENTO5M, DVENTO5M, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1733317;5151976;46.48073852;12.03929154;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
47;"Faloria";09/11/1984;;"METEO";2235;"CORTINA D'AMPEZZO (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1743531;5157576;46.52744551;12.17508664;"PIAVE: VENETO";"PIAVE - Boite";"Vene-A Alto Piave";
